"TipLabel"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"Yamatentomon_guoi"	"Animalia"	"Arthropoda"	"Protura"	"Sinentomata"	"Acerentomidae"	"Yamatentomon"	"Yamatentomon guoi"
"Acerentulus_charrieri"	"Animalia"	"Arthropoda"	"Protura"	"Sinentomata"	"Acerentomidae"	"Acerentulus"	"Acerentulus charrieri"
"Occasjapyx_japonicus"	"Animalia"	"Arthropoda"	"Diplura"	"Dicellurata"	"Japygidae"	"Occasjapyx"	"Occasjapyx japonicus"
"Lepidocampa_weberi"	"Animalia"	"Arthropoda"	"Diplura"	"Rhabdura"	"Campodeidae"	"Lepidocampa"	"Lepidocampa weberi"
"Peronospora_tabacina"	"Chromista"	"Oomycota"	"Peronosporea"	"Peronosporales"	"Peronosporacea"	"Peronospora"	"Peronospora tabacina"
"Aphanomyces_astaci"	"Chromista"	"Oomycota"	"Peronosporea"	"Saprolegniales"	"Saprolegniaceae"	"Aphanomyces"	"Aphanomyces astaci"
"Steinernema_carpocapsae"	"Animalia"	"Nematoda"	"Chromadorea"	"Rhabditida"	"Steinernematidae"	"Steinernema"	"Steinernema carpocapsae"
"Epipenaeon_fissurae"	"Animalia"	"Arthropoda"	"Malacostraca"	"Isopoda"	"Bopyridae"	"Epipenaeon"	"Epipenaeon fissurae"
"Hypsibius_dujardini"	"Animalia"	"Tardigrada"	"Eutardigrada"	"Parachela"	"Hypsibiidae"	"Hypsibius"	"Hypsibius dujardini"
"Anaulaciulus_koreanus"	"Animalia"	"Arthropoda"	"Diplopoda"	"Julida"	"Julidae"	"Anaulaciulus"	"Anaulaciulus koreanus"
"Apodemus_sylvaticus"	"Animalia"	"Chordata"	"Mammalia"	"Rodentia"	"Muridae"	"Apodemus"	"Apodemus sylvaticus"
"Cepaea_nemoralis"	"Animalia"	"Mollusca"	"Gastropoda"	"Stylommatophora"	"Helicidae"	"Cepaea"	"Cepaea nemoralis"
"Amphitetranychus_viennensis"	"Animalia"	"Arthropoda"	"Arachnida"	"Trombidiformes"	"Tetranychidae"	"Amphitetranychus"	"Amphitetranychus viennensis"
"Erigone_atra"	"Animalia"	"Arthropoda"	"Arachnida"	"Araneae"	"Linyphiidae"	"Erigone"	"Erigone atra"
