cluster	numt
Linyphiidae_cluster31	FALSE
Linyphiidae_cluster32	FALSE
Linyphiidae_cluster33	FALSE
Linyphiidae_cluster34	FALSE
Linyphiidae_cluster35	FALSE
Linyphiidae_cluster36	FALSE
Linyphiidae_cluster37	FALSE
Linyphiidae_cluster38	FALSE
Linyphiidae_cluster39	FALSE
Linyphiidae_cluster4	FALSE
Linyphiidae_cluster40	FALSE
Linyphiidae_cluster41	FALSE
Linyphiidae_cluster42	FALSE
Linyphiidae_cluster43	FALSE
Linyphiidae_cluster44	FALSE
Linyphiidae_cluster45	FALSE
Linyphiidae_cluster46	FALSE
Linyphiidae_cluster47	FALSE
Linyphiidae_cluster48	FALSE
Linyphiidae_cluster49	FALSE
Linyphiidae_cluster5	FALSE
Linyphiidae_cluster50	FALSE
Linyphiidae_cluster51	FALSE
Linyphiidae_cluster52	FALSE
Linyphiidae_cluster53	FALSE
Linyphiidae_cluster54	FALSE
Linyphiidae_cluster55	FALSE
Linyphiidae_cluster56	FALSE
Linyphiidae_cluster57	FALSE
Linyphiidae_cluster58	FALSE
Linyphiidae_cluster59	FALSE
Linyphiidae_cluster6	FALSE
Linyphiidae_cluster60	FALSE
Linyphiidae_cluster61	FALSE
Linyphiidae_cluster62	FALSE
Linyphiidae_cluster63	FALSE
Linyphiidae_cluster64	FALSE
Linyphiidae_cluster65	FALSE
Linyphiidae_cluster66	FALSE
Linyphiidae_cluster67	FALSE
Linyphiidae_cluster68	FALSE
Linyphiidae_cluster69	FALSE
Linyphiidae_cluster7	FALSE
Linyphiidae_cluster70	FALSE
Linyphiidae_cluster71	FALSE
Linyphiidae_cluster72	FALSE
Linyphiidae_cluster73	FALSE
Linyphiidae_cluster74	FALSE
Linyphiidae_cluster75	FALSE
Linyphiidae_cluster76	FALSE
Linyphiidae_cluster77	FALSE
Linyphiidae_cluster78	FALSE
Linyphiidae_cluster79	FALSE
Linyphiidae_cluster8	FALSE
Linyphiidae_cluster80	FALSE
Linyphiidae_cluster81	TRUE
Linyphiidae_cluster82	FALSE
Linyphiidae_cluster83	FALSE
Linyphiidae_cluster84	FALSE
Linyphiidae_cluster85	FALSE
Linyphiidae_cluster86	FALSE
Linyphiidae_cluster87	FALSE
Linyphiidae_cluster88	FALSE
Linyphiidae_cluster89	FALSE
Linyphiidae_cluster9	FALSE
Linyphiidae_cluster90	FALSE
Linyphiidae_cluster91	FALSE
Linyphiidae_cluster92	FALSE
Linyphiidae_cluster93	FALSE
Linyphiidae_cluster94	FALSE
Linyphiidae_cluster95	FALSE
Linyphiidae_cluster96	FALSE
Linyphiidae_cluster97	FALSE
Linyphiidae_cluster98	FALSE
Linyphiidae_cluster99	TRUE
Liocranidae_cluster1	FALSE
Liocranidae_cluster2	FALSE
Liocranidae_cluster3	FALSE
Liocranidae_cluster4	FALSE
Lycosidae_cluster1	FALSE
Lycosidae_cluster10	FALSE
Lycosidae_cluster11	FALSE
Lycosidae_cluster12	FALSE
Lycosidae_cluster13	FALSE
Lycosidae_cluster14	FALSE
Lycosidae_cluster15	FALSE
Lycosidae_cluster16	FALSE
Lycosidae_cluster17	FALSE
Lycosidae_cluster18	FALSE
Lycosidae_cluster19	FALSE
Lycosidae_cluster2	FALSE
Lycosidae_cluster20	FALSE
Lycosidae_cluster21	FALSE
Lycosidae_cluster22	FALSE
Lycosidae_cluster23	FALSE
Lycosidae_cluster24	FALSE
Lycosidae_cluster25	TRUE
Lycosidae_cluster26	FALSE
Lycosidae_cluster27	FALSE
Lycosidae_cluster28	FALSE
Lycosidae_cluster29	TRUE
Lycosidae_cluster3	FALSE
Lycosidae_cluster30	TRUE
Lycosidae_cluster4	FALSE
Lycosidae_cluster5	FALSE
Lycosidae_cluster6	FALSE
Lycosidae_cluster7	FALSE
Lycosidae_cluster8	FALSE
Lycosidae_cluster9	FALSE
Mimetidae_cluster1	FALSE
Mimetidae_cluster2	FALSE
Mimetidae_cluster3	TRUE
Miturgidae_cluster1	FALSE
Miturgidae_cluster2	FALSE
Miturgidae_cluster3	FALSE
Oxyopidae_cluster1	FALSE
Philodromidae_cluster1	FALSE
Philodromidae_cluster10	FALSE
Philodromidae_cluster11	FALSE
Philodromidae_cluster12	FALSE
Philodromidae_cluster13	FALSE
Philodromidae_cluster14	FALSE
Philodromidae_cluster15	TRUE
Philodromidae_cluster16	FALSE
Philodromidae_cluster17	FALSE
Philodromidae_cluster18	TRUE
Philodromidae_cluster19	TRUE
Philodromidae_cluster2	FALSE
Philodromidae_cluster20	TRUE
Philodromidae_cluster21	TRUE
Philodromidae_cluster22	TRUE
Philodromidae_cluster23	TRUE
Philodromidae_cluster24	TRUE
Philodromidae_cluster25	TRUE
Philodromidae_cluster26	TRUE
Philodromidae_cluster27	TRUE
Philodromidae_cluster3	FALSE
Philodromidae_cluster4	FALSE
Philodromidae_cluster5	FALSE
Philodromidae_cluster6	FALSE
Philodromidae_cluster7	FALSE
Philodromidae_cluster8	FALSE
Philodromidae_cluster9	FALSE
Pholcidae_cluster1	FALSE
Pholcidae_cluster2	FALSE
Phrurolithidae_cluster1	FALSE
Pisauridae_cluster1	FALSE
Pisauridae_cluster2	FALSE
Pisauridae_cluster3	FALSE
Salticidae_cluster1	FALSE
Salticidae_cluster10	FALSE
Salticidae_cluster11	FALSE
Salticidae_cluster12	FALSE
Salticidae_cluster13	FALSE
Salticidae_cluster14	FALSE
Salticidae_cluster15	FALSE
Salticidae_cluster16	TRUE
Salticidae_cluster17	FALSE
Salticidae_cluster18	FALSE
Salticidae_cluster19	FALSE
Salticidae_cluster2	FALSE
Salticidae_cluster20	FALSE
Salticidae_cluster21	FALSE
Salticidae_cluster22	FALSE
Salticidae_cluster23	FALSE
Salticidae_cluster24	TRUE
Salticidae_cluster25	FALSE
Salticidae_cluster26	FALSE
Salticidae_cluster27	TRUE
Salticidae_cluster28	TRUE
Salticidae_cluster29	TRUE
Salticidae_cluster3	FALSE
Salticidae_cluster30	TRUE
Salticidae_cluster31	TRUE
Salticidae_cluster32	TRUE
Salticidae_cluster33	TRUE
Salticidae_cluster34	TRUE
Salticidae_cluster35	TRUE
Salticidae_cluster36	TRUE
Salticidae_cluster37	FALSE
Salticidae_cluster4	FALSE
Salticidae_cluster5	FALSE
Salticidae_cluster6	FALSE
Salticidae_cluster7	FALSE
Salticidae_cluster8	FALSE
Salticidae_cluster9	FALSE
Segestriidae_cluster1	FALSE
Sparassidae_cluster1	FALSE
Sparassidae_cluster2	TRUE
Sparassidae_cluster3	TRUE
Tetragnathidae_cluster1	FALSE
Tetragnathidae_cluster10	FALSE
Tetragnathidae_cluster11	FALSE
Tetragnathidae_cluster12	FALSE
Tetragnathidae_cluster13	FALSE
Tetragnathidae_cluster14	FALSE
Tetragnathidae_cluster15	TRUE
Tetragnathidae_cluster16	TRUE
Tetragnathidae_cluster17	TRUE
Tetragnathidae_cluster2	FALSE
Tetragnathidae_cluster3	FALSE
Tetragnathidae_cluster4	FALSE
Tetragnathidae_cluster5	FALSE
Tetragnathidae_cluster6	FALSE
Tetragnathidae_cluster7	FALSE
Tetragnathidae_cluster8	FALSE
Tetragnathidae_cluster9	FALSE
Theridiidae_cluster1	FALSE
Theridiidae_cluster10	FALSE
Theridiidae_cluster11	FALSE
Theridiidae_cluster12	FALSE
Theridiidae_cluster13	FALSE
Theridiidae_cluster14	FALSE
Theridiidae_cluster15	FALSE
Theridiidae_cluster16	FALSE
Theridiidae_cluster17	FALSE
Theridiidae_cluster18	FALSE
Theridiidae_cluster19	FALSE
Theridiidae_cluster2	FALSE
Theridiidae_cluster20	FALSE
Theridiidae_cluster21	FALSE
Theridiidae_cluster22	FALSE
Theridiidae_cluster23	FALSE
Theridiidae_cluster24	FALSE
Theridiidae_cluster25	FALSE
Theridiidae_cluster26	FALSE
Theridiidae_cluster27	FALSE
Theridiidae_cluster28	FALSE
Theridiidae_cluster29	FALSE
Theridiidae_cluster3	FALSE
Theridiidae_cluster30	FALSE
Theridiidae_cluster31	FALSE
Theridiidae_cluster32	FALSE
Theridiidae_cluster33	FALSE
Theridiidae_cluster34	FALSE
Theridiidae_cluster35	TRUE
Theridiidae_cluster36	FALSE
Theridiidae_cluster37	TRUE
Theridiidae_cluster38	TRUE
Theridiidae_cluster39	TRUE
Theridiidae_cluster4	FALSE
Theridiidae_cluster40	TRUE
Theridiidae_cluster41	TRUE
Theridiidae_cluster42	FALSE
Theridiidae_cluster5	FALSE
Theridiidae_cluster6	FALSE
Theridiidae_cluster7	FALSE
Theridiidae_cluster8	FALSE
Theridiidae_cluster9	FALSE
Thomisidae_cluster1	FALSE
Thomisidae_cluster10	FALSE
Thomisidae_cluster11	FALSE
Thomisidae_cluster12	FALSE
Thomisidae_cluster13	FALSE
Thomisidae_cluster14	FALSE
Thomisidae_cluster15	FALSE
Thomisidae_cluster16	FALSE
Thomisidae_cluster17	FALSE
Thomisidae_cluster18	FALSE
Thomisidae_cluster19	TRUE
Thomisidae_cluster2	FALSE
Thomisidae_cluster20	TRUE
Thomisidae_cluster21	FALSE
Thomisidae_cluster22	TRUE
Thomisidae_cluster23	TRUE
Thomisidae_cluster24	TRUE
Thomisidae_cluster25	TRUE
Thomisidae_cluster26	FALSE
Thomisidae_cluster27	TRUE
Thomisidae_cluster28	TRUE
Thomisidae_cluster29	TRUE
Thomisidae_cluster3	FALSE
Thomisidae_cluster4	FALSE
Thomisidae_cluster5	FALSE
Thomisidae_cluster6	FALSE
Thomisidae_cluster7	FALSE
Thomisidae_cluster8	FALSE
Thomisidae_cluster9	FALSE
Uloboridae_cluster1	FALSE
unclassified.Araneae_cluster1	FALSE
unclassified.Araneae_cluster10	FALSE
unclassified.Araneae_cluster11	FALSE
unclassified.Araneae_cluster12	TRUE
unclassified.Araneae_cluster13	TRUE
unclassified.Araneae_cluster14	FALSE
unclassified.Araneae_cluster15	FALSE
unclassified.Araneae_cluster16	FALSE
unclassified.Araneae_cluster17	FALSE
unclassified.Araneae_cluster18	TRUE
unclassified.Araneae_cluster19	FALSE
unclassified.Araneae_cluster2	FALSE
unclassified.Araneae_cluster20	FALSE
unclassified.Araneae_cluster21	FALSE
unclassified.Araneae_cluster22	FALSE
unclassified.Araneae_cluster23	TRUE
unclassified.Araneae_cluster24	TRUE
unclassified.Araneae_cluster25	TRUE
unclassified.Araneae_cluster26	FALSE
unclassified.Araneae_cluster27	TRUE
unclassified.Araneae_cluster28	TRUE
unclassified.Araneae_cluster29	TRUE
unclassified.Araneae_cluster3	FALSE
unclassified.Araneae_cluster30	FALSE
unclassified.Araneae_cluster31	TRUE
unclassified.Araneae_cluster32	FALSE
unclassified.Araneae_cluster33	TRUE
unclassified.Araneae_cluster34	FALSE
unclassified.Araneae_cluster35	TRUE
unclassified.Araneae_cluster36	FALSE
unclassified.Araneae_cluster37	TRUE
unclassified.Araneae_cluster38	TRUE
unclassified.Araneae_cluster39	TRUE
unclassified.Araneae_cluster4	FALSE
unclassified.Araneae_cluster40	TRUE
unclassified.Araneae_cluster41	TRUE
unclassified.Araneae_cluster42	TRUE
unclassified.Araneae_cluster43	TRUE
unclassified.Araneae_cluster44	TRUE
unclassified.Araneae_cluster45	TRUE
unclassified.Araneae_cluster46	TRUE
unclassified.Araneae_cluster47	TRUE
unclassified.Araneae_cluster48	FALSE
unclassified.Araneae_cluster49	TRUE
unclassified.Araneae_cluster5	FALSE
unclassified.Araneae_cluster50	TRUE
unclassified.Araneae_cluster51	FALSE
unclassified.Araneae_cluster52	TRUE
unclassified.Araneae_cluster53	TRUE
unclassified.Araneae_cluster54	TRUE
unclassified.Araneae_cluster55	TRUE
unclassified.Araneae_cluster56	TRUE
unclassified.Araneae_cluster57	TRUE
unclassified.Araneae_cluster58	FALSE
unclassified.Araneae_cluster59	TRUE
unclassified.Araneae_cluster6	FALSE
