cluster	numt
Melyridae_cluster11	TRUE
Staphylinidae_cluster58	FALSE
Salpingidae_cluster2	FALSE
Staphylinidae_cluster110	FALSE
Phalacridae_cluster1	FALSE
Staphylinidae_cluster202	FALSE
Chrysomelidae_cluster63	FALSE
unclassified.Coleoptera_cluster23	TRUE
Staphylinidae_cluster4	FALSE
Cerambycidae_cluster4	FALSE
Chrysomelidae_cluster27	FALSE
Staphylinidae_cluster64	FALSE
Corylophidae_cluster12	FALSE
Ptinidae_cluster3	FALSE
Staphylinidae_cluster108	FALSE
Staphylinidae_cluster211	FALSE
unclassified.Coleoptera_cluster27	TRUE
Curculionidae_cluster9	FALSE
Elateridae_cluster28	FALSE
Staphylinidae_cluster89	FALSE
Staphylinidae_cluster91	FALSE
Coccinellidae_cluster39	FALSE
Curculionidae_cluster49	FALSE
Staphylinidae_cluster185	FALSE
Curculionidae_cluster65	TRUE
Mordellidae_cluster12	FALSE
Curculionidae_cluster119	FALSE
Melyridae_cluster12	TRUE
Byturidae_cluster2	FALSE
Scraptiidae_cluster9	FALSE
Chrysomelidae_cluster57	FALSE
Staphylinidae_cluster149	FALSE
Dasytidae_cluster1	FALSE
Chrysomelidae_cluster104	TRUE
Rhadalidae_cluster14	FALSE
Elateridae_cluster13	FALSE
unclassified.Coleoptera_cluster8	FALSE
Staphylinidae_cluster76	FALSE
unclassified.Coleoptera_cluster18	FALSE
Cantharidae_cluster37	FALSE
Staphylinidae_cluster27	FALSE
Staphylinidae_cluster48	FALSE
Staphylinidae_cluster98	FALSE
Corylophidae_cluster11	FALSE
Chrysomelidae_cluster59	FALSE
Chrysomelidae_cluster61	FALSE
Chrysomelidae_cluster87	FALSE
Nitidulidae_cluster12	FALSE
Chrysomelidae_cluster118	TRUE
Staphylinidae_cluster232	FALSE
Scirtidae_cluster16	FALSE
Curculionidae_cluster57	FALSE
Curculionidae_cluster48	FALSE
Chrysomelidae_cluster56	FALSE
Staphylinidae_cluster158	FALSE
Curculionidae_cluster66	TRUE
unclassified.Coleoptera_cluster135	FALSE
Elateridae_cluster8	FALSE
Latridiidae_cluster6	FALSE
Cryptophagidae_cluster12	FALSE
Leiodidae_cluster19	FALSE
Carabidae_cluster57	FALSE
Anthribidae_cluster2	FALSE
Silvanidae_cluster3	FALSE
Staphylinidae_cluster176	FALSE
Curculionidae_cluster87	FALSE
Staphylinidae_cluster227	FALSE
Drilidae_cluster1	FALSE
Staphylinidae_cluster16	FALSE
Leiodidae_cluster3	FALSE
Salpingidae_cluster1	FALSE
Lycidae_cluster2	FALSE
Elateridae_cluster33	FALSE
Coccinellidae_cluster43	FALSE
Anthribidae_cluster3	FALSE
unclassified.Coleoptera_cluster77	FALSE
Elateridae_cluster52	TRUE
Monotomidae_cluster7	FALSE
Nemonychidae_cluster1	FALSE
Staphylinidae_cluster15	FALSE
Leiodidae_cluster2	FALSE
Coccinellidae_cluster37	FALSE
Chrysomelidae_cluster38	FALSE
Staphylinidae_cluster196	FALSE
Chrysomelidae_cluster100	TRUE
Rhadalidae_cluster13	FALSE
unclassified.Coleoptera_cluster141	FALSE
Leiodidae_cluster8	FALSE
Leiodidae_cluster6	FALSE
Curculionidae_cluster62	FALSE
Elateridae_cluster40	TRUE
Cryptophagidae_cluster13	FALSE
Apionidae_cluster7	FALSE
Staphylinidae_cluster186	FALSE
unclassified.Coleoptera_cluster26	FALSE
Coccinellidae_cluster57	TRUE
unclassified.Coleoptera_cluster111	TRUE
Rhadalidae_cluster7	FALSE
Staphylinidae_cluster51	FALSE
Coccinellidae_cluster29	FALSE
Carabidae_cluster41	FALSE
Curculionidae_cluster41	FALSE
Cantharidae_cluster45	FALSE
Scirtidae_cluster17	FALSE
Staphylinidae_cluster175	FALSE
Staphylinidae_cluster190	FALSE
Chrysomelidae_cluster106	FALSE
unclassified.Coleoptera_cluster75	FALSE
Coccinellidae_cluster60	TRUE
Latridiidae_cluster27	FALSE
unclassified.Coleoptera_cluster126	TRUE
Elateridae_cluster10	FALSE
Carabidae_cluster10	FALSE
Cantharidae_cluster39	FALSE
Melyridae_cluster3	FALSE
unclassified.Coleoptera_cluster11	FALSE
Clambidae_cluster1	FALSE
Curculionidae_cluster46	FALSE
Carabidae_cluster45	FALSE
Anthicidae_cluster2	FALSE
Carabidae_cluster52	FALSE
Malachiidae_cluster2	FALSE
Brentidae_cluster2	FALSE
Monotomidae_cluster3	FALSE
Curculionidae_cluster68	FALSE
unclassified.Coleoptera_cluster47	FALSE
Leiodidae_cluster22	FALSE
Chrysomelidae_cluster81	FALSE
Corylophidae_cluster13	FALSE
Chrysomelidae_cluster121	FALSE
Staphylinidae_cluster258	FALSE
Corylophidae_cluster14	FALSE
Latridiidae_cluster18	FALSE
Latridiidae_cluster17	TRUE
Latridiidae_cluster22	TRUE
unclassified.Coleoptera_cluster134	FALSE
unclassified.Coleoptera_cluster196	TRUE
Chrysomelidae_cluster30	FALSE
Chrysomelidae_cluster47	FALSE
Cerambycidae_cluster19	FALSE
Cerambycidae_cluster21	FALSE
Staphylinidae_cluster150	FALSE
Dermestidae_cluster1	FALSE
Staphylinidae_cluster148	FALSE
Staphylinidae_cluster172	FALSE
Curculionidae_cluster73	FALSE
Chrysomelidae_cluster78	FALSE
unclassified.Coleoptera_cluster81	FALSE
Staphylinidae_cluster177	FALSE
Chrysomelidae_cluster73	FALSE
Staphylinidae_cluster195	FALSE
unclassified.Coleoptera_cluster50	TRUE
Curculionidae_cluster80	TRUE
