"taxon"	"run"	"require_overlap"	"dist_type"	"dist_threshold"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"duplicate_bin_records"	"remaining_dups"	"remaining_dup_records"	"false_pos"	"false_neg"	"finbol_clusters"	"removed_finbol_clusters"	"spp_in_known"	"found_spp_in_known"	"clusters_in_known"	"spurious"	"remaining_spurious"	"false_pos_finbol"	"false_neg_spurious"	"false_pos_comb"	"false_neg_comb"
"Hymenoptera"	23	"TRUE"	"wdadn"	0.9	14315	2359	5452	110	338	445	183	220	0.0201760821716801	0.541420118343195	778	4	28	12	14	2	1	0.0051413881748072	0.5	0.0182985553772071	0.541176470588235
"Hymenoptera"	24	"TRUE"	"wdadn"	1.1	14315	2117	5452	92	338	445	197	237	0.0168745414526779	0.582840236686391	778	3	28	12	14	2	1	0.0038560411311054	0.5	0.0152487961476726	0.582352941176471
"Hymenoptera"	25	"FALSE"	"dadn"	2.7	14315	4393	5452	986	338	445	152	177	0.180851063829787	0.449704142011834	778	85	28	12	14	2	1	0.109254498714653	0.5	0.171910112359551	0.45
"Hymenoptera"	26	"FALSE"	"dadn"	3	14315	3623	5452	715	338	445	172	203	0.131144534115921	0.50887573964497	778	52	28	12	14	2	1	0.0668380462724936	0.5	0.123113964686998	0.508823529411765
"Hymenoptera"	27	"FALSE"	"dadn"	3.5	14315	2782	5452	453	338	445	202	245	0.0830887747615554	0.597633136094675	778	27	28	12	14	2	1	0.0347043701799486	0.5	0.0770465489566613	0.597058823529412
"Hymenoptera"	28	"FALSE"	"wdadn"	1.5	14315	4121	5452	773	338	445	158	183	0.141782831988261	0.467455621301775	778	52	28	12	14	2	1	0.0668380462724936	0.5	0.132423756019262	0.467647058823529
"Hymenoptera"	29	"FALSE"	"wdadn"	1.7	14315	3500	5452	558	338	445	176	205	0.102347762289068	0.520710059171598	778	32	28	12	14	2	1	0.0411311053984576	0.5	0.0947030497592295	0.520588235294118
"Hymenoptera"	30	"FALSE"	"wdadn"	2	14315	2821	5452	365	338	445	199	232	0.0669479090242113	0.588757396449704	778	22	28	12	14	2	1	0.0282776349614396	0.5	0.0621187800963082	0.588235294117647
"Hymenoptera"	31	"FALSE"	"wdadn"	2.5	14315	2134	5452	186	338	445	226	269	0.0341159207630227	0.668639053254438	778	13	28	12	14	2	2	0.0167095115681234	1	0.0319422150882825	0.670588235294118
"Hymenoptera"	32	"FALSE"	"wdadn"	3	14315	1699	5452	94	338	445	247	299	0.0172413793103448	0.730769230769231	778	6	28	12	14	2	2	0.0077120822622108	1	0.0160513643659711	0.732352941176471
"Hymenoptera"	33	"FALSE"	"wdadn"	3.5	14315	1394	5452	72	338	445	268	327	0.0132061628760088	0.792899408284024	778	6	28	12	14	2	2	0.0077120822622108	1	0.0125200642054575	0.794117647058823
"Hymenoptera"	34	"FALSE"	"wdadn"	4	14315	1154	5452	50	338	445	282	344	0.0091709464416727	0.834319526627219	778	3	28	12	14	2	2	0.0038560411311054	1	0.0085072231139646	0.835294117647059
"Hymenoptera"	35	"FALSE"	"dadn"	4	14315	2205	5452	317	338	445	234	278	0.0581438004402054	0.692307692307692	778	15	28	12	14	2	2	0.019280205655527	1	0.0532905296950241	0.694117647058824
"Hymenoptera"	36	"FALSE"	"dadn"	4.5	14315	1797	5452	219	338	445	245	298	0.0401687454145268	0.724852071005917	778	9	28	12	14	2	2	0.0115681233933162	1	0.0365971107544141	0.726470588235294
"Hymenoptera"	37	"FALSE"	"dadn"	5	14315	1499	5452	149	338	445	261	317	0.0273294203961849	0.772189349112426	778	7	28	12	14	2	2	0.0089974293059126	1	0.0250401284109149	0.773529411764706
"Hymenoptera"	38	"FALSE"	"dadn"	6	14315	1056	5452	84	338	445	281	340	0.0154071900220103	0.831360946745562	778	3	28	12	14	2	2	0.0038560411311054	1	0.0139646869983949	0.832352941176471
"Hymenoptera"	39	"TRUE"	"dadn"	1.8	14315	2204	5452	116	338	445	187	228	0.0212765957446809	0.553254437869823	778	5	28	12	14	2	1	0.006426735218509	0.5	0.019422150882825	0.552941176470588
"Hymenoptera"	40	"TRUE"	"dadn"	2.1	14315	1971	5452	105	338	445	196	241	0.0192589875275128	0.579881656804734	778	4	28	12	14	2	1	0.0051413881748072	0.5	0.0174959871589085	0.579411764705882
"Hymenoptera"	41	"TRUE"	"dadn"	2.4	14315	1750	5452	81	338	445	207	254	0.0148569332355099	0.612426035502959	778	3	28	12	14	2	1	0.0038560411311054	0.5	0.0134831460674157	0.611764705882353
"Hymenoptera"	42	"TRUE"	"dadn"	2.7	14315	1561	5452	69	338	445	224	275	0.0126559060895084	0.662721893491124	778	2	28	12	14	2	1	0.0025706940874036	0.5	0.0113964686998395	0.661764705882353
"Hymenoptera"	43	"TRUE"	"wdadn"	1.2	14315	2020	5452	83	338	445	206	249	0.0152237710931768	0.609467455621302	778	2	28	12	14	2	1	0.0025706940874036	0.5	0.0136436597110754	0.608823529411765
