"taxon"	"run"	"ee_run"	"require_overlap"	"dist_type"	"dist_threshold"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"duplicate_bin_records"	"remaining_dups"	"remaining_dup_records"	"false_pos"	"false_neg"	"finbol_clusters"	"removed_finbol_clusters"	"spp_in_known"	"found_spp_in_known"	"clusters_in_known"	"spurious"	"remaining_spurious"	"false_pos_finbol"	"false_neg_spurious"	"false_pos_comb"	"false_neg_comb"
"Symphypleona"	4	16	"False"	"wdadn"	4	212	83	66	5	19	38	6	13	0.0757575757575758	0.315789473684211	0	0	6	2	11	7	5	NA	0.714285714285714	0.0757575757575758	0.423076923076923
"Symphypleona"	5	17	"False"	"wdadn"	4	212	87	66	5	19	38	6	13	0.0757575757575758	0.315789473684211	0	0	6	2	11	7	5	NA	0.714285714285714	0.0757575757575758	0.423076923076923
"Symphypleona"	6	18	"False"	"wdadn"	4	212	86	66	5	19	38	6	13	0.0757575757575758	0.315789473684211	0	0	6	2	11	7	5	NA	0.714285714285714	0.0757575757575758	0.423076923076923
"Symphypleona"	7	19	"False"	"wdadn"	4	212	92	66	5	19	38	6	12	0.0757575757575758	0.315789473684211	0	0	6	2	11	7	4	NA	0.571428571428571	0.0757575757575758	0.384615384615385
"Symphypleona"	8	20	"False"	"wdadn"	4	212	93	66	5	19	38	6	12	0.0757575757575758	0.315789473684211	0	0	6	2	11	7	4	NA	0.571428571428571	0.0757575757575758	0.384615384615385
"Symphypleona"	9	21	"False"	"wdadn"	4	212	86	66	5	19	38	9	15	0.0757575757575758	0.473684210526316	0	0	6	2	11	7	4	NA	0.571428571428571	0.0757575757575758	0.5
"Symphypleona"	10	22	"False"	"wdadn"	4	212	86	66	5	19	38	8	14	0.0757575757575758	0.421052631578947	0	0	6	2	11	7	4	NA	0.571428571428571	0.0757575757575758	0.461538461538462
"Symphypleona"	11	23	"False"	"wdadn"	4	212	88	66	5	19	38	6	12	0.0757575757575758	0.315789473684211	0	0	6	2	11	7	4	NA	0.571428571428571	0.0757575757575758	0.384615384615385
"Symphypleona"	12	24	"False"	"wdadn"	4	212	89	66	5	19	38	6	12	0.0757575757575758	0.315789473684211	0	0	6	2	11	7	4	NA	0.571428571428571	0.0757575757575758	0.384615384615385
"Odonata"	1	13	"False"	"wdadn"	4	34	15	20	1	3	3	0	0	0.05	0	2	0	57	15	28	10	4	0	0.4	0.0454545454545455	0.307692307692308
"Odonata"	2	14	"False"	"wdadn"	4	34	15	20	1	3	3	0	0	0.05	0	2	0	57	15	28	10	4	0	0.4	0.0454545454545455	0.307692307692308
"Odonata"	3	15	"False"	"wdadn"	4	34	15	20	1	3	3	0	0	0.05	0	2	0	57	15	28	10	4	0	0.4	0.0454545454545455	0.307692307692308
"Odonata"	4	16	"False"	"wdadn"	4	34	15	20	1	3	3	0	0	0.05	0	2	0	57	15	28	10	4	0	0.4	0.0454545454545455	0.307692307692308
