"taxon"	"run"	"min_match"	"min_overlap"	"read_ratio_type"	"max_read_ratio"	"require_corr"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"remaining_dups"	"false_pos"	"false_neg"
"Neelipleona"	44	95	0.95	"mean"	0.1	TRUE	22	1	9	0	7	6	0	0.857142857142857
"Zoraptera"	39	84	0.99	"mean"	0.1	TRUE	7	0	0	0	0	0	NA	NA
"Zoraptera"	40	84	0.95	"mean"	0.05	TRUE	7	0	0	0	0	0	NA	NA
"Zoraptera"	41	84	0.9	"mean"	0.1	TRUE	7	0	0	0	0	0	NA	NA
"Zoraptera"	42	84	0.9	"mean"	0.05	TRUE	7	0	0	0	0	0	NA	NA
"Zoraptera"	43	90	0.95	"mean"	0.1	TRUE	7	0	0	0	0	0	NA	NA
"Zoraptera"	44	95	0.95	"mean"	0.1	TRUE	7	0	0	0	0	0	NA	NA
"Phthiraptera"	39	84	0.99	"mean"	0.1	TRUE	3	0	0	0	0	0	NA	NA
"Phthiraptera"	40	84	0.95	"mean"	0.05	TRUE	3	0	0	0	0	0	NA	NA
"Phthiraptera"	41	84	0.9	"mean"	0.1	TRUE	3	0	0	0	0	0	NA	NA
"Phthiraptera"	42	84	0.9	"mean"	0.05	TRUE	3	0	0	0	0	0	NA	NA
"Phthiraptera"	43	90	0.95	"mean"	0.1	TRUE	3	0	0	0	0	0	NA	NA
"Phthiraptera"	44	95	0.95	"mean"	0.1	TRUE	3	0	0	0	0	0	NA	NA
"Diplura"	39	84	0.99	"mean"	0.1	TRUE	12	7	3	0	2	1	0	0.5
"Diplura"	40	84	0.95	"mean"	0.05	TRUE	12	5	3	0	2	2	0	1
"Diplura"	41	84	0.9	"mean"	0.1	TRUE	12	7	3	0	2	1	0	0.5
"Diplura"	42	84	0.9	"mean"	0.05	TRUE	12	5	3	0	2	2	0	1
"Diplura"	43	90	0.95	"mean"	0.1	TRUE	12	7	3	0	2	1	0	0.5
"Diplura"	44	95	0.95	"mean"	0.1	TRUE	12	1	3	0	2	2	0	1
"Archaeognatha"	39	84	0.99	"mean"	0.1	TRUE	11	10	0	0	0	0	NA	NA
"Archaeognatha"	40	84	0.95	"mean"	0.05	TRUE	11	10	0	0	0	0	NA	NA
"Archaeognatha"	41	84	0.9	"mean"	0.1	TRUE	11	10	0	0	0	0	NA	NA
"Archaeognatha"	42	84	0.9	"mean"	0.05	TRUE	11	10	0	0	0	0	NA	NA
"Archaeognatha"	43	90	0.95	"mean"	0.1	TRUE	11	8	0	0	0	0	NA	NA
"Archaeognatha"	44	95	0.95	"mean"	0.1	TRUE	11	2	0	0	0	0	NA	NA
"Phasmatodea"	39	84	0.99	"mean"	0.1	TRUE	1	0	0	0	0	0	NA	NA
"Phasmatodea"	40	84	0.95	"mean"	0.05	TRUE	1	0	0	0	0	0	NA	NA
"Phasmatodea"	41	84	0.9	"mean"	0.1	TRUE	1	0	0	0	0	0	NA	NA
"Phasmatodea"	42	84	0.9	"mean"	0.05	TRUE	1	0	0	0	0	0	NA	NA
"Phasmatodea"	43	90	0.95	"mean"	0.1	TRUE	1	0	0	0	0	0	NA	NA
"Phasmatodea"	44	95	0.95	"mean"	0.1	TRUE	1	0	0	0	0	0	NA	NA
"Mantodea"	39	84	0.99	"mean"	0.1	TRUE	1	0	0	0	0	0	NA	NA
"Mantodea"	40	84	0.95	"mean"	0.05	TRUE	1	0	0	0	0	0	NA	NA
