taxon	run	min_match	min_overlap	read_ratio_type	max_read_ratio	require_corr	clusters	removed_clusters	unique_bins	removed_uniques	duplicate_bins	duplicate_bin_records	remaining_dups	remaining_dup_records	false_pos	false_neg	finbol_clusters	removed_finbol_clusters	spp_in_known	found_spp_in_known	clusters_in_known	spurious	remaining_spurious	false_pos_finbol	false_neg_spurious	false_pos_comb	false_neg_comb	count_type
Hymenoptera	30	84	0.9	mean	0.8	True	14315	2740	5452	161	338	445	170	208	0.0295304475421864	0.502958579881657	778	1	28	12	14	2	1	0.0012853470437018	0.5	0.0260032102728732	0.502941176470588	raw
Hymenoptera	31	84	0.9	max	1.0	True	14315	2765	5452	164	338	445	171	208	0.0300807043286867	0.505917159763314	778	2	28	12	14	2	1	0.0025706940874036	0.5	0.026645264847512	0.505882352941176	raw
Hymenoptera	32	84	0.9	mean	1.0	True	14315	2803	5452	166	338	445	170	206	0.0304475421863536	0.502958579881657	778	2	28	12	14	2	1	0.0025706940874036	0.5	0.0269662921348315	0.502941176470588	raw
Hymenoptera	33	84	0.99	max	0.1	True	14315	1642	5452	73	338	445	220	276	0.0133895818048423	0.650887573964497	778	0	28	12	14	2	1	0.0	0.5	0.0117174959871589	0.65	raw
Hymenoptera	34	84	0.95	max	0.05	True	14315	1301	5452	58	338	445	239	299	0.0106382978723404	0.707100591715976	778	0	28	12	14	2	1	0.0	0.5	0.0093097913322632	0.705882352941176	raw
Hymenoptera	35	84	0.9	max	0.1	True	14315	1751	5452	82	338	445	215	269	0.0150403521643434	0.636094674556213	778	0	28	12	14	2	1	0.0	0.5	0.0131621187800963	0.635294117647059	raw
Hymenoptera	36	84	0.9	max	0.05	True	14315	1339	5452	61	338	445	239	299	0.0111885546588408	0.707100591715976	778	0	28	12	14	2	1	0.0	0.5	0.0097913322632423	0.705882352941176	raw
Hymenoptera	37	90	0.95	max	0.1	True	14315	1526	5452	68	338	445	220	275	0.012472487160675	0.650887573964497	778	0	28	12	14	2	2	0.0	1.0	0.0109149277688604	0.652941176470588	raw
Hymenoptera	38	95	0.95	max	0.1	True	14315	407	5452	23	338	445	275	359	0.0042186353631694	0.813609467455621	778	0	28	12	14	2	2	0.0	1.0	0.0036918138041733	0.814705882352941	raw
Hymenoptera	39	84	0.99	mean	0.1	True	14315	1737	5452	77	338	445	216	270	0.0141232575201761	0.63905325443787	778	0	28	12	14	2	1	0.0	0.5	0.0123595505617978	0.638235294117647	raw
Hymenoptera	40	84	0.95	mean	0.05	True	14315	1363	5452	59	338	445	234	292	0.0108217168011739	0.692307692307692	778	0	28	12	14	2	1	0.0	0.5	0.0094703049759229	0.691176470588235	raw
Hymenoptera	41	84	0.9	mean	0.1	True	14315	1846	5452	86	338	445	211	263	0.0157740278796772	0.624260355029586	778	0	28	12	14	2	1	0.0	0.5	0.0138041733547352	0.623529411764706	raw
Hymenoptera	42	84	0.9	mean	0.05	True	14315	1401	5452	62	338	445	234	292	0.0113719735876742	0.692307692307692	778	0	28	12	14	2	1	0.0	0.5	0.009951845906902	0.691176470588235	raw
Hymenoptera	43	90	0.95	mean	0.1	True	14315	1614	5452	71	338	445	216	269	0.0130227439471753	0.63905325443787	778	0	28	12	14	2	2	0.0	1.0	0.0113964686998395	0.641176470588235	raw
Hymenoptera	44	95	0.95	mean	0.1	True	14315	430	5452	23	338	445	272	356	0.0042186353631694	0.804733727810651	778	0	28	12	14	2	2	0.0	1.0	0.0036918138041733	0.805882352941176	raw
Coleoptera	1	84	0.9	max	1.0	False	2663	684	1675	48	184	401	25	143	0.0286567164179104	0.135869565217391	738	5	620	253	404	70	41	0.0067750677506775	0.585714285714286	0.0219643597181931	0.259842519685039	raw
Coleoptera	2	84	0.9	mean	1.0	False	2663	703	1675	53	184	401	20	134	0.0316417910447761	0.108695652173913	738	5	620	253	404	70	40	0.0067750677506775	0.571428571428571	0.0240364691255698	0.236220472440945	raw
Coleoptera	3	84	0.95	max	0.1	True	2663	535	1675	27	184	401	69	197	0.0161194029850746	0.375	738	1	620	253	404	70	46	0.0013550135501355	0.657142857142857	0.0116038126813096	0.452755905511811	raw
Coleoptera	4	84	0.95	max	0.1	False	2663	525	1675	29	184	401	72	212	0.0173134328358209	0.391304347826087	738	2	620	253	404	70	45	0.002710027100271	0.642857142857143	0.0128470783257356	0.460629921259843	raw
Coleoptera	5	84	0.95	max	0.8	True	2663	613	1675	41	184	401	49	165	0.0244776119402985	0.266304347826087	738	3	620	253	404	70	45	0.0040650406504065	0.642857142857143	0.018234562784915	0.37007874015748	raw
