"taxon"	"run"	"echo_run"	"require_overlap"	"dist_type"	"dist_threshold"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"remaining_dups"	"false_pos"	"false_neg"
"Raphidioptera"	8	28	TRUE	"dadn"	1.8	5	0	3	0	0	0	0	NA
"Raphidioptera"	9	9	FALSE	"wdadn"	3	5	0	3	0	0	0	0	NA
"Raphidioptera"	10	10	FALSE	"wdadn"	3	5	0	3	0	0	0	0	NA
"Raphidioptera"	11	27	FALSE	"wdadn"	3	5	0	3	0	0	0	0	NA
"Raphidioptera"	12	28	FALSE	"wdadn"	3	5	0	3	0	0	0	0	NA
"Thysanoptera"	1	9	TRUE	"wdadn"	1.1	80	1	57	0	3	2	0	0.666666666666667
"Thysanoptera"	2	9	TRUE	"dadn"	1.8	80	2	57	1	3	2	0.0175438596491228	0.666666666666667
"Thysanoptera"	3	10	TRUE	"wdadn"	1.1	80	1	57	0	3	2	0	0.666666666666667
"Thysanoptera"	4	10	TRUE	"dadn"	1.8	80	2	57	1	3	2	0.0175438596491228	0.666666666666667
"Thysanoptera"	5	27	TRUE	"wdadn"	1.1	80	1	57	0	3	2	0	0.666666666666667
"Thysanoptera"	6	27	TRUE	"dadn"	1.8	80	2	57	1	3	2	0.0175438596491228	0.666666666666667
"Thysanoptera"	7	28	TRUE	"wdadn"	1.1	80	1	57	0	3	2	0	0.666666666666667
"Thysanoptera"	8	28	TRUE	"dadn"	1.8	80	2	57	1	3	2	0.0175438596491228	0.666666666666667
"Thysanoptera"	9	9	FALSE	"wdadn"	3	80	1	57	0	3	2	0	0.666666666666667
"Thysanoptera"	10	10	FALSE	"wdadn"	3	80	1	57	0	3	2	0	0.666666666666667
"Thysanoptera"	11	27	FALSE	"wdadn"	3	80	1	57	0	3	2	0	0.666666666666667
"Thysanoptera"	12	28	FALSE	"wdadn"	3	80	1	57	0	3	2	0	0.666666666666667
"Psocoptera"	1	9	TRUE	"wdadn"	1.1	26	0	0	0	0	0	NA	NA
"Psocoptera"	2	9	TRUE	"dadn"	1.8	26	1	0	0	0	0	NA	NA
"Psocoptera"	3	10	TRUE	"wdadn"	1.1	26	1	0	0	0	0	NA	NA
"Psocoptera"	4	10	TRUE	"dadn"	1.8	26	1	0	0	0	0	NA	NA
"Psocoptera"	5	27	TRUE	"wdadn"	1.1	26	0	0	0	0	0	NA	NA
"Psocoptera"	6	27	TRUE	"dadn"	1.8	26	1	0	0	0	0	NA	NA
"Psocoptera"	7	28	TRUE	"wdadn"	1.1	26	0	0	0	0	0	NA	NA
"Psocoptera"	8	28	TRUE	"dadn"	1.8	26	1	0	0	0	0	NA	NA
"Psocoptera"	9	9	FALSE	"wdadn"	3	26	0	0	0	0	0	NA	NA
"Psocoptera"	10	10	FALSE	"wdadn"	3	26	1	0	0	0	0	NA	NA
"Psocoptera"	11	27	FALSE	"wdadn"	3	26	0	0	0	0	0	NA	NA
"Psocoptera"	12	28	FALSE	"wdadn"	3	26	0	0	0	0	0	NA	NA
"Neuroptera"	1	9	TRUE	"wdadn"	1.1	159	21	58	3	4	0	0.0517241379310345	0
"Neuroptera"	2	9	TRUE	"dadn"	1.8	159	22	58	3	4	0	0.0517241379310345	0
