"taxon"	"run"	"ee_run"	"require_overlap"	"dist_type"	"dist_threshold"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"remaining_dups"	"false_pos"	"false_neg"
"Megaloptera"	12	24	FALSE	"wdadn"	4	4	2	1	0	1	0	0	0
"Poduromorpha"	7	19	FALSE	"wdadn"	4	432	233	86	6	40	17	0.0697674418604651	0.425
"Poduromorpha"	8	20	FALSE	"wdadn"	4	432	231	86	6	40	17	0.0697674418604651	0.425
"Poduromorpha"	9	21	FALSE	"wdadn"	4	432	222	86	4	40	20	0.0465116279069767	0.5
"Poduromorpha"	10	22	FALSE	"wdadn"	4	432	218	86	4	40	21	0.0465116279069767	0.525
"Poduromorpha"	11	23	FALSE	"wdadn"	4	432	231	86	4	40	17	0.0465116279069767	0.425
"Poduromorpha"	12	24	FALSE	"wdadn"	4	432	229	86	4	40	17	0.0465116279069767	0.425
"Strepsiptera"	7	19	FALSE	"wdadn"	4	8	0	7	0	0	0	0	NA
"Strepsiptera"	8	20	FALSE	"wdadn"	4	8	0	7	0	0	0	0	NA
"Strepsiptera"	9	21	FALSE	"wdadn"	4	8	0	7	0	0	0	0	NA
"Strepsiptera"	10	22	FALSE	"wdadn"	4	8	0	7	0	0	0	0	NA
"Strepsiptera"	11	23	FALSE	"wdadn"	4	8	0	7	0	0	0	0	NA
"Strepsiptera"	12	24	FALSE	"wdadn"	4	8	0	7	0	0	0	0	NA
"Siphonaptera"	7	19	FALSE	"wdadn"	4	13	1	3	0	0	0	0	NA
"Siphonaptera"	8	20	FALSE	"wdadn"	4	13	0	3	0	0	0	0	NA
"Siphonaptera"	9	21	FALSE	"wdadn"	4	13	1	3	0	0	0	0	NA
"Siphonaptera"	10	22	FALSE	"wdadn"	4	13	0	3	0	0	0	0	NA
"Siphonaptera"	11	23	FALSE	"wdadn"	4	13	1	3	0	0	0	0	NA
"Siphonaptera"	12	24	FALSE	"wdadn"	4	13	0	3	0	0	0	0	NA
"Zygentoma"	7	19	FALSE	"wdadn"	4	14	9	1	0	1	1	0	1
"Zygentoma"	8	20	FALSE	"wdadn"	4	14	9	1	0	1	1	0	1
"Zygentoma"	9	21	FALSE	"wdadn"	4	14	9	1	0	1	1	0	1
"Zygentoma"	10	22	FALSE	"wdadn"	4	14	9	1	0	1	1	0	1
"Zygentoma"	11	23	FALSE	"wdadn"	4	14	9	1	0	1	1	0	1
"Zygentoma"	12	24	FALSE	"wdadn"	4	14	9	1	0	1	1	0	1
"Neelipleona"	7	19	FALSE	"wdadn"	4	22	6	9	0	7	3	0	0.428571428571429
"Neelipleona"	8	20	FALSE	"wdadn"	4	22	6	9	0	7	3	0	0.428571428571429
"Neelipleona"	9	21	FALSE	"wdadn"	4	22	4	9	0	7	5	0	0.714285714285714
"Neelipleona"	10	22	FALSE	"wdadn"	4	22	4	9	0	7	5	0	0.714285714285714
"Neelipleona"	11	23	FALSE	"wdadn"	4	22	6	9	0	7	3	0	0.428571428571429
"Neelipleona"	12	24	FALSE	"wdadn"	4	22	6	9	0	7	3	0	0.428571428571429
"Zoraptera"	7	19	FALSE	"wdadn"	4	7	0	0	0	0	0	NA	NA
"Zoraptera"	8	20	FALSE	"wdadn"	4	7	0	0	0	0	0	NA	NA
"Zoraptera"	9	21	FALSE	"wdadn"	4	7	0	0	0	0	0	NA	NA
"Zoraptera"	10	22	FALSE	"wdadn"	4	7	0	0	0	0	0	NA	NA
"Zoraptera"	11	23	FALSE	"wdadn"	4	7	0	0	0	0	0	NA	NA
"Zoraptera"	12	24	FALSE	"wdadn"	4	7	0	0	0	0	0	NA	NA
"Phthiraptera"	7	19	FALSE	"wdadn"	4	3	0	0	0	0	0	NA	NA
"Phthiraptera"	8	20	FALSE	"wdadn"	4	3	0	0	0	0	0	NA	NA
"Phthiraptera"	9	21	FALSE	"wdadn"	4	3	0	0	0	0	0	NA	NA
"Phthiraptera"	10	22	FALSE	"wdadn"	4	3	0	0	0	0	0	NA	NA
"Phthiraptera"	11	23	FALSE	"wdadn"	4	3	0	0	0	0	0	NA	NA
"Phthiraptera"	12	24	FALSE	"wdadn"	4	3	0	0	0	0	0	NA	NA
"Diplura"	7	19	FALSE	"wdadn"	4	12	8	3	0	2	1	0	0.5
"Diplura"	8	20	FALSE	"wdadn"	4	12	8	3	0	2	1	0	0.5
"Diplura"	9	21	FALSE	"wdadn"	4	12	7	3	0	2	1	0	0.5
"Diplura"	10	22	FALSE	"wdadn"	4	12	7	3	0	2	1	0	0.5
"Diplura"	11	23	FALSE	"wdadn"	4	12	8	3	0	2	1	0	0.5
"Diplura"	12	24	FALSE	"wdadn"	4	12	8	3	0	2	1	0	0.5
"Archaeognatha"	7	19	FALSE	"wdadn"	4	11	10	0	0	0	0	NA	NA
"Archaeognatha"	8	20	FALSE	"wdadn"	4	11	10	0	0	0	0	NA	NA
"Archaeognatha"	9	21	FALSE	"wdadn"	4	11	10	0	0	0	0	NA	NA
"Archaeognatha"	10	22	FALSE	"wdadn"	4	11	10	0	0	0	0	NA	NA
"Archaeognatha"	11	23	FALSE	"wdadn"	4	11	10	0	0	0	0	NA	NA
"Archaeognatha"	12	24	FALSE	"wdadn"	4	11	10	0	0	0	0	NA	NA
"Phasmatodea"	7	19	FALSE	"wdadn"	4	1	0	0	0	0	0	NA	NA
"Phasmatodea"	8	20	FALSE	"wdadn"	4	1	0	0	0	0	0	NA	NA
"Phasmatodea"	9	21	FALSE	"wdadn"	4	1	0	0	0	0	0	NA	NA
