ASV	cluster	rep_asv
d5af8f6970d34736bbdef08e10b411f3	Drosophilidae_cluster34	d5af8f6970d34736bbdef08e10b411f3
e69f200681e07ae90f8170bb1b814534	Linyphiidae_cluster5	e69f200681e07ae90f8170bb1b814534
c682d014cbdef302273149a5665ddf38	Staphylinidae_cluster34	c682d014cbdef302273149a5665ddf38
b8d28537115681997fb550ec734e6d17	Ichneumonidae_cluster63	a93639a6408ca684381be24f92242c3f
fbd47c401f9d348e931908fccedb945f	Cerambycidae_cluster8	52489e5311635e6cbd4e3daf45fc98dd
4b029343719ce4862c2dc1292667fda2	Gelechiidae_cluster43	a7e5dece96a4f3fe62d3d297d5eab0d2
5a4f64b652aca9d5060c5e4c995c4102	Crabronidae_cluster17	5a4f64b652aca9d5060c5e4c995c4102
f7b151a1fd99cd39ca076f7392735ba9	Noctuidae_cluster137	7efde4a96b8f1ebd85ff78b0282c85ad
e5b55c7ca00661a3bd061adf7a2b366e	Crambidae_cluster43	e5b55c7ca00661a3bd061adf7a2b366e
83bfe33190e4e14231eb2465f7058f62	Elipsocidae_cluster4	83bfe33190e4e14231eb2465f7058f62
4afc60bfd2ce65fd3fcb8d0a52905b1c	Bucculatricidae_cluster2	d8624b91d4287773263647fb80441943
ea1d2b60a32842ffa75de1b5839a5c17	Vespidae_cluster14	eb0f04c3fd0ab1df6d7df9529ef23dbf
d75856c63d0f994a88c817a391f6d821	Lycosidae_cluster1	0b7a2d73fbdc02d43c88964a5e6351ca
06d87b911131cc725e6675e6badc03dc	Geometridae_cluster80	06d87b911131cc725e6675e6badc03dc
23a9cdf42f252ff619a868ef94c85d96	Curculionidae_cluster105	7f962adfeaf50a135042bad704f36a7b
839038254d1cb53642068ba7e28bfcfe	Chironomidae_cluster345	839038254d1cb53642068ba7e28bfcfe
38371dd95051a046c30ff39b8e210f33	Geometridae_cluster30	38371dd95051a046c30ff39b8e210f33
b1e2f16f05b21e0fde848d62361a43e1	Syrphidae_cluster59	51e480a78dcab90e8aeec1510eafd275
e23b3bb959199556c465bdcdb80e6857	Elateridae_cluster11	68f24e0b8d0bef75467e199aa96155a6
8b85cc0cf693a726622796d3f7268c75	Pyralidae_cluster24	8b85cc0cf693a726622796d3f7268c75
79e3dea0c9b565e0fdca3a4240a5097b	Scathophagidae_cluster4	79e3dea0c9b565e0fdca3a4240a5097b
baa544bf0bc06a3a19724f894bf5d089	Tenthredinidae_cluster56	baa544bf0bc06a3a19724f894bf5d089
a15ee877a3f03f9f112296df583c6648	Staphylinidae_cluster166	a15ee877a3f03f9f112296df583c6648
5be85bd055d3fbb707fbbbb2f11d0a74	Chironomidae_cluster920	5be85bd055d3fbb707fbbbb2f11d0a74
225b0b215a7e88bac0a892428e958c27	Keroplatidae_cluster1	1173917a06658323b5ab514f65902050
c973063b5fe974188fa4984e48b20d61	Asilidae_cluster9	c973063b5fe974188fa4984e48b20d61
2db7d14a08a32931474aef238865b4fb	Cerambycidae_cluster11	2db7d14a08a32931474aef238865b4fb
11e0e4d452d00d4d40aff5fd82a40f7e	Chloroperlidae_cluster2	778d611e3067ab35df13cb68aa70a729
c9cd84a5798b18b39ae81359bb69f3e7	Psychidae_cluster2	c9cd84a5798b18b39ae81359bb69f3e7
d779df65c5ce2adf4045ac37876ed78f	Formicidae_cluster2	0043115c023a616869a6241ab9b4f065
31b55f8d60d4e1d676af0a439d66e9ba	Tortricidae_cluster178	31b55f8d60d4e1d676af0a439d66e9ba
6ad5c8b7b8e219e427be9a0e868b609b	Pyrochroidae_cluster1	9f121090d75de7d241b5657c4a4fdad8
b6e339a7bc37951338f48d7e1c3ad375	Geometridae_cluster144	b6e339a7bc37951338f48d7e1c3ad375
c8bec4449b3ff5ae35e1d9e47efedb48	Hybotidae_cluster48	c8bec4449b3ff5ae35e1d9e47efedb48
b575fccae5012ce0716b086c9f3af160	Geometridae_cluster166	b575fccae5012ce0716b086c9f3af160
25b41fc5b05b894869e3e906a6ea347f	Ichneumonidae_cluster189	25b41fc5b05b894869e3e906a6ea347f
870efcb1de392a5a4e5f91538920b8a5	Batrachedridae_cluster1	870efcb1de392a5a4e5f91538920b8a5
552b24b3fe3655773f50c315d84dcc76	Miridae_cluster32	552b24b3fe3655773f50c315d84dcc76
089b9332ad15d57ed1b28c331193b7d3	Tortricidae_cluster64	089b9332ad15d57ed1b28c331193b7d3
4077d91f7656505d215f6776274ee9b8	Calliphoridae_cluster19	6340b4fdad01182f571f27977e9d581b
a15b643492720dbbba0834ebd7d1a626	Chironomidae_cluster381	a15b643492720dbbba0834ebd7d1a626
92112146a52c4bb284990cdd15020842	Salticidae_cluster13	83209b8d22ecc461b537552427da34c8
4005517ed6b4854252b81c426b8a1cec	Tachinidae_cluster115	4005517ed6b4854252b81c426b8a1cec
006eb6f4b23cb215b14cb9b6534aac73	Gracillariidae_cluster19	006eb6f4b23cb215b14cb9b6534aac73
c9c03d4b9ef1d00faa71b077ce22fb4f	Tachinidae_cluster223	c9c03d4b9ef1d00faa71b077ce22fb4f
